Rank,Name,Year,Genre,Publisher
1903,NCAA Football 13,2012,Action,Electronic Arts
1907,Joust,1982,Platform,Atari
1910,DiRT 3,2011,Racing,Codemasters
1912,Spore Creatures,2008,Simulation,Electronic Arts
1913,Ready 2 Rumble Boxing,1998,Sports,Midway Games
1914,Dragon Ball Z: Taiketsu,2003,Fighting,Atari
1915,Disney's Lilo & Stitch,2002,Platform,Ubisoft
1916,Star Fox: Assault,2005,Shooter,Nintendo
1917,Naruto: Ultimate Ninja Storm,2008,Fighting,Namco Bandai Games
1919,NCAA Football 14,2013,Sports,Electronic Arts
1920,Doko Demo Issyo,1999,Misc,Sony Computer Entertainment
1922,Imagine: Fashion Designer New York,2008,Simulation,Ubisoft
1924,Bully: Scholarship Edition,2008,Action,Take-Two Interactive
1925,Virtua Fighter,1994,Fighting,Sega
1926,Championship Manager 99/00,1999,Sports,Eidos Interactive
1929,Super Princess Peach,2005,Platform,Nintendo
1930,NHL 99,1997,Sports,Electronic Arts
1931,SoulCalibur III,2005,Fighting,Namco Bandai Games
1933,F1 2012,2012,Racing,Codemasters
1934,World Tour Soccer,2005,Sports,Sony Computer Entertainment
1935,Disney Universe,2011,Action,Disney Interactive Studios
1936,Ridge Racer Revolution,1995,Racing,Sony Computer Entertainment
1938,Hot Wheels Turbo Racing,1999,Racing,Electronic Arts
1939,NCAA Football 99,1998,Sports,Electronic Arts
1940,Mortal Kombat: Armageddon,2006,Fighting,Midway Games
1941,Aliens vs Predator,2010,Shooter,Sega
1942,Freekstyle,2002,Racing,Electronic Arts
1943,Junior Brain Trainer,2008,Misc,GSP
1944,Darksiders,2010,Action,THQ
1945,DiRT,2007,Racing,Codemasters
1947,Simple 1500 Series Vol. 1: The Mahjong,1998,Misc,D3Publisher
1949,NBA Street V3,2005,Sports,Electronic Arts
1950,Sleeping Dogs,2012,Action,Square Enix
1951,Mercenaries 2: World in Flames,2008,Shooter,Electronic Arts
1952,Worms Armageddon,1999,Strategy,Microprose
1953,Hulk,2003,Action,Universal Interactive
1956,NFL Quarterback Club 98,1997,Sports,Acclaim Entertainment
1957,DJ Hero,2009,Misc,Activision
1958,Dora the Explorer: Dora Saves the Mermaids,2007,Platform,Take-Two Interactive
1959,Diablo II: Lord of Destruction,2001,Role-Playing,Vivendi Games
1960,Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games
1962,Virtua Tennis 3,2007,Sports,Sega
1963,Seek and Destroy,2002,Racing,Play It
1964,Warhawk,2007,Simulation,Sony Computer Entertainment
1965,Apollo Justice: Ace Attorney,2007,Adventure,Capcom
1967,Cosmic Ark,1981,Shooter,Imagic
1968,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,2006,Shooter,Sony Computer Entertainment
1969,Skylanders: Trap Team,2014,Action,Activision
1971,Defender,1980,Misc,Atari
1972,Dance on Broadway,2010,Misc,Ubisoft
1973,Adventure Island,1986,Platform,Hudson Soft
1974,Arc the Lad II,1996,Role-Playing,Sony Computer Entertainment
1975,Tag Team Match M.U.S.C.L.E.,1985,Fighting,Namco Bandai Games
1976,Derby Stallion 96,1996,Sports,ASCII Entertainment
1977,UFC Undisputed 3,2012,Action,THQ
1978,NBA 2K3,2002,Sports,Sega
1979,Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games
1981,Dave Mirra Freestyle BMX,2000,Sports,Acclaim Entertainment
1982,Imagine: Animal Doctor,2007,Simulation,Ubisoft
1984,Forza Motorsport,2005,Racing,Microsoft Game Studios
1987,Monster Rancher 2,1998,Simulation,Sony Computer Entertainment
1988,Pokemon Conquest,2012,Role-Playing,Nintendo
1990,Guinness World Records: The Videogame,2008,Action,Warner Bros. Interactive Entertainment
1991,MVP Baseball 2003,2003,Sports,Electronic Arts
1992,Legacy of Kain: Soul Reaver,N/A,Action,Eidos Interactive
1994,Disney Tangled,2010,Action,Disney Interactive Studios
1995,Tales of Destiny,1997,Role-Playing,Namco Bandai Games
1996,ATV: Quad Power Racing,2000,Racing,Acclaim Entertainment
1997,Disney Fairies: Tinker Bell and the Lost Treasure,2009,Adventure,Disney Interactive Studios
1998,Mega Man X4,1996,Action,Virgin Interactive
1999,Naruto: Clash of Ninja 2,2003,Fighting,Nintendo
2000,Dance Dance Revolution SuperNOVA,2006,Simulation,Konami Digital Entertainment
2001,Brink,2011,Shooter,Bethesda Softworks
2002,F-Zero: Maximum Velocity,2001,Racing,Nintendo
2003,Bomberman 64,1997,Puzzle,Hudson Soft
2004,Jeremy McGrath Supercross 98,1998,Racing,Acclaim Entertainment
2006,Project CARS,2015,Racing,Slightly Mad Studios
2008,Kirby: Mass Attack,2011,Platform,Nintendo
2010,ZhuZhu Pets,2010,Simulation,Activision
2011,Tom Clancy's Ghost Recon Advanced Warfighter 2,2007,Shooter,Ubisoft
2012,MotorStorm: Arctic Edge,2009,Racing,Sony Computer Entertainment
2013,WipEout Pure,2005,Racing,Sony Computer Entertainment
2014,EA Sports UFC,2014,Sports,Electronic Arts
2015,MX vs. ATV Unleashed,2005,Racing,THQ
2017,Tiger Woods PGA Tour 08,2007,Sports,Electronic Arts
2018,Rayman Origins,2011,Platform,Ubisoft
2019,Epic Mickey 2: The Power of Two,2012,Action,Disney Interactive Studios
2020,NCAA March Madness 2004,2003,Sports,Electronic Arts
2021,Donkey Kong Land III,N/A,Platform,Nintendo
2022,Bomberman,1985,Puzzle,Hudson Soft
2026,Street Fighter Alpha 3,1998,Fighting,Virgin Interactive
2027,Bulletstorm,2011,Shooter,Electronic Arts
2029,Naruto: Clash of Ninja Revolution,2007,Fighting,Tomy Corporation
2031,ZombiU,2012,Action,Ubisoft
2033,Petz: Catz 2,2007,Simulation,Ubisoft
2034,Tales of Graces f,2010,Role-Playing,Namco Bandai Games
2035,Final Fight 2,1993,Action,Capcom
2037,The Lost World: Jurassic Park,1997,Action,Electronic Arts
2038,Ace Combat 6: Fires of Liberation,2007,Simulation,Atari
2041,Harry Potter and the Prisoner of Azkaban,2004,Action,Electronic Arts
2042,Pong: The Next Level,1998,Puzzle,Hasbro Interactive
2043,Bayonetta 2,2014,Action,Nintendo
2045,God of War: Ghost of Sparta,2010,Action,Sony Computer Entertainment
2047,Ninja Gaiden II,2008,Action,Tecmo Koei
2049,Championship Manager 3,2003,Sports,Eidos Interactive
2050,Guitar Hero: Warriors of Rock,2010,Misc,Activision
2051,Oshare Majo Love and Berry: DS Collection,2006,Misc,Sega
2052,Monster Rancher,1997,Simulation,Tecmo Koei
2054,DiRT 2,2009,Racing,Codemasters
2055,Rayman Legends,2014,Platform,Ubisoft
2056,NERF N-Strike Elite,2009,Shooter,Electronic Arts
2057,Ford Racing 2,2003,Racing,Empire Interactive
2058,Breath of Fire III,1997,Role-Playing,Capcom
2060,Dead or Alive 2,2000,Fighting,Tecmo Koei
2061,1942,1985,Shooter,Capcom
2062,Excitebike 64,2000,Racing,Nintendo
2063,NES Open Tournament Golf,1991,Sports,Nintendo
2064,Game & Watch Gallery,1997,Misc,Nintendo
2065,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,2004,Misc,Sammy Corporation
2067,Haze,2008,Shooter,Ubisoft
2069,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),2006,Sports,Konami Digital Entertainment
2070,Road & Track Presents: The Need for Speed,1995,Racing,Electronic Arts
2071,NFL GameDay 2001,2000,Sports,Sony Computer Entertainment
2072,Killzone: Mercenary,2013,Shooter,Sony Computer Entertainment Europe
2073,NBA Live 97,1996,Sports,Electronic Arts
2074,Dynasty Warriors 3: Xtreme Legends,2002,Action,Tecmo Koei
2075,Zoo Tycoon DS,2005,Strategy,THQ
2076,Rocksmith 2014,2013,Misc,Ubisoft
2077,Dead Space 3,2013,Action,Electronic Arts
2081,Puzzler Collection,2008,Puzzle,Ubisoft
2082,Jampack Winter 2000,2000,Misc,Sony Computer Entertainment
2084,Phoenix Wright: Ace Attorney,2005,Adventure,Capcom
2085,NFL Fever 2002,2000,Sports,Microsoft Game Studios
2087,Littlest Pet Shop: Winter,2008,Simulation,Electronic Arts
2089,Tom Clancy's Splinter Cell: Blacklist,2013,Action,Ubisoft
2090,Ace Combat X: Skies of Deception,2006,Simulation,Namco Bandai Games
2091,NCAA Football 12,2011,Sports,Electronic Arts
2093,Band Hero,2009,Misc,Activision
2094,Cars: Race-O-Rama,2009,Racing,THQ
2095,Oddworld: Abe's Exoddus,1998,Platform,GT Interactive
2096,EyePet,2009,Simulation,Sony Computer Entertainment
2097,Scooby-Doo! First Frights,2009,Action,Warner Bros. Interactive Entertainment
2098,Midnight Club: LA Remix,2008,Racing,Take-Two Interactive
2099,The Bouncer,2000,Action,Sony Computer Entertainment
2103,Shadow The Hedgehog,2005,Platform,Sega
2104,Farming Simulator 2013,2012,Simulation,Focus Home Interactive
2109,Xenoblade Chronicles,2010,Role-Playing,Nintendo
2111,Mario Party Advance,2005,Misc,Nintendo
2113,Tetris 2,1993,Puzzle,Nintendo
2115,Air-Sea Battle,N/A,Shooter,Atari
2116,Suikoden III,N/A,Role-Playing,Unknown
2117,Kingdom Hearts Re:coded,2010,Role-Playing,Square Enix
2118,South Park: The Stick of Truth,2014,Role-Playing,Ubisoft
2119,Driver: San Francisco,2011,Racing,Ubisoft
2120,Sniper Elite V2,2012,Shooter,505 Games
2124,Pro Evolution Soccer 2014,2013,Action,Konami Digital Entertainment
2127,Brutal Legend,2009,Action,Electronic Arts
2128,Tamagotchi Connection: Corner Shop 2,2006,Simulation,Namco Bandai Games
2129,Final Fantasy Type-0,2015,Role-Playing,Square Enix
2131,de Blob,2008,Platform,THQ
2134,NBA 2K10,2009,Sports,Take-Two Interactive
2135,Fire Emblem,2003,Strategy,Nintendo
2136,Yakuza 4,N/A,Action,Sega
2138,Club Penguin: Game Day!,2010,Sports,Disney Interactive Studios
2139,NHL 2004,2003,Sports,Electronic Arts
2144,Romancing SaGa,1992,Role-Playing,SquareSoft
2145,Donkey Kong Junior,1981,Platform,Atari
2149,Medal of Honor: Underground,2000,Shooter,Electronic Arts
2151,Dark Cloud 2,2002,Role-Playing,Sony Computer Entertainment
2152,Jampack Summer '99,1999,Misc,Sony Computer Entertainment
2153,PlayStation All-Stars Battle Royale,2012,Action,Sony Computer Entertainment
2154,Dance Dance Revolution 2nd ReMIX,1999,Simulation,Konami Digital Entertainment
2155,Monster High: Ghoul Spirit,2011,Misc,THQ
2156,Dragon Quest X,2012,Role-Playing,Square Enix
2158,Gangs of London,2006,Adventure,Sony Computer Entertainment
2160,Star Soldier,1986,Shooter,Hudson Soft
2162,Lost Planet 2,2010,Shooter,Capcom
2163,NHL 2001,2000,Sports,Electronic Arts
2164,Dragon Quest Monsters: Terry's Wonderland 3D,2012,Role-Playing,Square Enix
2165,My Weight Loss Coach,2008,Sports,Ubisoft
2167,Mega Man Star Force Dragon / Leo / Pegasus,2006,Action,Capcom
2168,Shinobi,2002,Platform,Sony Computer Entertainment
2170,The Witcher 2: Assassins of Kings,2011,Action,Namco Bandai Games
2171,PilotWings Resort,2011,Simulation,Nintendo
2172,Naruto Shippuden: Ultimate Ninja Storm 3,2013,Fighting,Namco Bandai Games
2173,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment
2176,World Championship Poker,2004,Misc,Play It
2180,Ben 10: Alien Force,2008,Action,Koch Media
2183,Wild ARMs,1996,Role-Playing,Sony Computer Entertainment
2184,Kessen,2000,Strategy,Electronic Arts
2185,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,2003,Misc,Konami Digital Entertainment
2186,NCAA Football 2000,1999,Sports,Electronic Arts
2189,Guitar Hero: Metallica,2009,Misc,Activision
2190,Evolve,2015,Shooter,Take-Two Interactive
2192,Army of Two: The 40th Day,2010,Shooter,Electronic Arts
2193,Tony Hawk: RIDE,2009,Sports,Activision
2194,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment
2195,Wii Play: Motion,2011,Misc,Nintendo
2196,Killzone,2004,Shooter,Sony Computer Entertainment
2197,The Tomb Raider Trilogy,2011,Action,Square Enix
2198,Colin McRae Rally 04,2003,Racing,Codemasters
2199,Star Fox 64 3D,2011,Shooter,Nintendo
2202,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,1996,Misc,GT Interactive
2205,Castlevania: Lament of Innocence,2003,Action,Konami Digital Entertainment
2206,Mario Tennis Open,2012,Sports,Nintendo
2209,Destroy All Humans!,2005,Shooter,THQ
2211,SaGa Frontier 2,1999,Role-Playing,SquareSoft
2212,NCAA Football 10,2009,Sports,Electronic Arts
2213,MLB 2000,1999,Sports,Sony Computer Entertainment
2214,The Legend of Zelda: Twilight Princess HD,2016,Action,Nintendo
2215,Bully,2006,Action,Take-Two Interactive
2217,Phantasy Star Portable,2008,Role-Playing,Sega
2218,Hot Shots Golf Fore!,2003,Sports,Sony Computer Entertainment
2219,MLB 06: The Show,2006,Sports,Sony Computer Entertainment
2220,NHL 2003,2002,Sports,Electronic Arts
2221,Operation Flashpoint: Dragon Rising,2009,Shooter,Codemasters
2222,Nickelodeon Fit,2010,Sports,Take-Two Interactive
2223,Buzz! Quiz World,2009,Misc,Sony Computer Entertainment
2224,Bentley's Hackpack,2005,Misc,N/A
2227,EA Sports Grand Slam Tennis,2009,Sports,Electronic Arts
2228,White Knight Chronicles: International Edition,2008,Role-Playing,Sony Computer Entertainment
2230,Sonic Riders: Zero Gravity,2008,Racing,Sega
2232,Build-A-Bear Workshop,2007,Simulation,Game Factory
2233,Crash City Mayhem,2004,Racing,THQ
2235,Mega Man 4,1991,Platform,Capcom
2236,Castlevania II: Simon's Quest,1987,Platform,Konami Digital Entertainment
2239,MLB 07: The Show,2007,Sports,Sony Computer Entertainment
2242,Brothers in Arms: Hell's Highway,2008,Shooter,Ubisoft
2243,Inazuma Eleven 3,2010,Role-Playing,Level 5
2244,Pokken Tournament,2016,Fighting,Namco Bandai Games
2245,SnoCross Championship Racing,1999,Racing,Ubisoft
2247,Top Gun: Combat Zones,2001,Simulation,Titus
2248,Blue Dragon,2006,Role-Playing,Microsoft Game Studios
2250,NCAA Football 11,2010,Sports,Electronic Arts
2251,NHL 98,1997,Sports,Electronic Arts
2254,SpongeBob SquarePants: The Yellow Avenger,2006,Action,THQ
2257,Wipeout: In The Zone,2011,Misc,Activision
2258,Space Jam,1996,Sports,Acclaim Entertainment
2261,Balloon Fight,1985,Platform,Nintendo
2263,Disney Magical World,2013,Adventure,Nintendo
2264,Crysis 3,2013,Shooter,Electronic Arts
2266,Dynasty Warriors 7,2011,Action,Tecmo Koei
2268,MLB 12: The Show,2012,Sports,Sony Computer Entertainment
2269,Sonic Riders,2006,Racing,Sega
2270,Starsky & Hutch,2003,Racing,Empire Interactive
2271,Tobal No.1,1996,Fighting,Sony Computer Entertainment
2272,Lost Odyssey,2007,Role-Playing,Microsoft Game Studios
2273,MLB 15: The Show,2015,Sports,Sony Computer Entertainment
2276,AMF Bowling Pinbusters!,2007,Sports,Bethesda Softworks
2277,Street Hoops,2002,Sports,Activision
2278,Avatar: The Game,2009,Action,Ubisoft
2279,Harvest Moon 3D: A New Beginning,2012,Action,Marvelous Entertainment
2280,Tom Clancy's EndWar,2008,Strategy,Ubisoft
2281,Knockout Kings 2002,2002,Sports,Electronic Arts
2282,Tokyo Xtreme Racer 3,2003,Racing,Genki
2284,Colin McRae Rally 2.0,2000,Racing,Codemasters
2285,Glover,1998,Platform,Hasbro Interactive
2286,MX vs. ATV Reflex,2009,Racing,THQ
2287,Minecraft: Story Mode,2015,Adventure,Mojang
2289,Marvel: Ultimate Alliance 2,2009,Role-Playing,Activision
2291,Super Momotarou Dentetsu III,1994,Simulation,Hudson Soft
2296,Tiger Woods PGA Tour 2002,2002,Sports,Electronic Arts
2298,Mini-Yonku Shining Scorpion: Let's & Go!!,1996,Racing,ASCII Entertainment
2299,MLB 2005,2004,Sports,Sony Computer Entertainment
2300,SOCOM 4: U.S. Navy SEALs,2011,Shooter,Sony Computer Entertainment
2301,Burnout Revenge,2005,Racing,Electronic Arts
2302,Buzz! Quiz TV,2008,Misc,Sony Computer Entertainment
2303,We Ski & Snowboard,2008,Sports,Atari
2304,Destruction Derby,1995,Racing,Psygnosis
2305,TouchMaster 2,2008,Puzzle,Midway Games
2307,3Xtreme,1999,Action,989 Studios
2308,Hot Shots Tennis,2006,Sports,Sony Computer Entertainment
2310,Resistance: Retribution,2009,Shooter,Sony Computer Entertainment
2311,Tiger Woods PGA Tour 12: The Masters,2011,Sports,Electronic Arts
2314,Spider-Man 3,2007,Platform,Activision
2316,Samba De Amigo,2008,Misc,Sega
2319,FIFA Soccer 09 All-Play,2008,Sports,Electronic Arts
2320,Fossil Fighters,2008,Role-Playing,Nintendo
2321,LittleBigPlanet Karting,2012,Action,Sony Computer Entertainment
2324,Harry Potter: Quidditch World Cup,2003,Sports,Electronic Arts
2325,The Biggest Loser: Ultimate Workout,2010,Sports,THQ
2327,Call of Juarez: Bound in Blood,2009,Shooter,Ubisoft
2328,Killzone: Liberation,2006,Shooter,Sony Computer Entertainment
2330,Blitz: The League,2005,Sports,Unknown
2332,Castlevania: Circle of the Moon,2001,Platform,Konami Digital Entertainment
2333,Sonic Chronicles: The Dark Brotherhood,2008,Role-Playing,Sega
2334,Tiger Woods PGA Tour 06,2005,Sports,Electronic Arts
2335,Classic NES Series: The Legend of Zelda,2004,Adventure,Nintendo
2336,The Jak and Daxter Collection,2012,Platform,Sony Computer Entertainment
2337,Fire Emblem: The Sacred Stones,2004,Strategy,Nintendo
2338,Pokemon Card GB2: Here Comes Team GR!,2001,Strategy,Nintendo
2340,CSI: Hard Evidence,2008,Adventure,Ubisoft
2341,Ace Combat 2,1997,Simulation,Sony Computer Entertainment
2342,F1 2009,2009,Racing,Codemasters
2343,NFL 2K2,2001,Sports,Sega
2344,EA Sports UFC 2,2016,Sports,Electronic Arts
2345,Dissidia 012: Duodecim Final Fantasy,2011,Fighting,Square Enix
2348,Monster 4X4: World Circuit,2006,Racing,Ubisoft
2350,Wii Fit U,2013,Sports,Nintendo
2351,Kingdoms of Amalur: Reckoning,2012,Role-Playing,Electronic Arts
2353,MLB 2001,2000,Sports,Sony Computer Entertainment
2354,SingStar Anthems,2006,Misc,Sony Computer Entertainment
2355,Seiken Densetsu 3,1995,Role-Playing,SquareSoft
2356,Mega Man 8 Anniversary Collector's Edition,1996,Platform,Capcom
2360,Peppa Pig: The Game,2008,Misc,Pinnacle
2362,Ghostbusters: The Video Game,2009,Action,Atari
2363,Rock Band 3,2010,Misc,MTV Games
2364,Resident Evil: Revelations,2012,Action,Capcom
2365,NBA 2K6,2005,Action,Take-Two Interactive
2366,Buzz! The Mega Quiz,2007,Misc,Sony Computer Entertainment
2367,Endless Ocean: Blue World,2009,Simulation,Nintendo
2368,Star Wars: Rebel Assault II - The Hidden Empire,1996,Shooter,CTO SpA
2370,Metal Gear Ac!d,2004,Strategy,Konami Digital Entertainment
2371,Cooking Mama: World Kitchen,2008,Simulation,505 Games
2372,Tekken Tag Tournament 2,2012,Fighting,Namco Bandai Games
2373,ESPN NHL 2K5,2004,Sports,Global Star
2375,Phantasy Star Portable 2,2009,Role-Playing,Sega
2376,Crimson Skies: High Road to Revenge,2003,Simulation,Microsoft Game Studios
2377,Spec Ops: Ranger Elite,2001,Shooter,TalonSoft
2378,Gex,1995,Platform,Crystal Dynamics
2381,Derby Stallion II,1994,Sports,ASCII Entertainment
2382,Gold's Gym: Dance Workout,2010,Sports,Ubisoft
2383,Red Faction: Guerrilla,2009,Shooter,THQ
2384,Tom Clancy's Ghost Recon: Island Thunder,2003,Shooter,Ubisoft
2386,Need for Speed: V-Rally,1997,Racing,Infogrames
2387,Kingdom Hearts Re: Chain of Memories,2008,Role-Playing,Square Enix
2388,Pictionary,2010,Puzzle,THQ
2391,NFL GameDay '97,1996,Sports,Sony Computer Entertainment
2392,Beijing 2008,2008,Sports,Sega
2393,The House of the Dead: Overkill,2009,Shooter,Sega
2394,Tony Hawk's Project 8,2006,Sports,Activision
2396,NHL 2000,1998,Sports,Electronic Arts
2397,Buzz! Master Quiz,2008,Misc,Sony Computer Entertainment
2399,Fight Night Round 2,2005,Fighting,Electronic Arts
2400,Wizards of Waverly Place,2009,Misc,Disney Interactive Studios
2403,Triple Play 2002,2002,Sports,Electronic Arts
2404,Vagrant Story,2000,Role-Playing,Crave Entertainment
2405,Lemmings,2006,Puzzle,Sony Computer Entertainment
2406,Warriors Orochi,2007,Action,Tecmo Koei
2408,Enduro,1982,Misc,Quelle
2409,Tales of Xillia 2,2012,Role-Playing,Namco Bandai Games
2410,SingStar '90s,2007,Misc,Sony Computer Entertainment
2411,Monster Strike 3DS,2015,Action,"mixi, Inc"
2412,Tomb Raider: Anniversary,2007,Action,Eidos Interactive
2414,Darksiders II,2012,Action,THQ
2416,The World Ends With You,2007,Role-Playing,Square Enix
2417,The Lord of the Rings: War in the North,N/A,Action,Warner Bros. Interactive Entertainment
2418,Rocky,2002,Fighting,Rage Software
2420,Ford Racing,2001,Racing,Empire Interactive
2421,Madden Football 64,1997,Sports,Electronic Arts
2422,MLB 99,1998,Sports,Sony Computer Entertainment
2423,Dragon Ball Z: Burst Limit,2008,Fighting,Atari
2425,The Legendary Starfy,2008,Platform,Nintendo
2427,Dynasty Warriors 4: Xtreme Legends,2003,Action,Tecmo Koei
2428,Ninja Gaiden Sigma 2,2009,Action,Ubisoft Annecy
2432,Army Men: Air Attack,1999,Action,3DO
2433,Need for Speed: Nitro,2009,Racing,Electronic Arts
2434,Madden NFL 09 All-Play,2008,Sports,Electronic Arts
2435,NBA 2K8,2007,Sports,Take-Two Interactive
2437,Street Fighter Alpha 2,1996,Fighting,Virgin Interactive
2440,Blazing Angels: Squadrons of WWII,2007,Simulation,Ubisoft
2441,Castlevania III: Dracula's Curse,1989,Platform,Konami Digital Entertainment
2442,Harry Potter and the Order of the Phoenix,2007,Action,Electronic Arts
2443,Rampage World Tour,1997,Action,GT Interactive
2444,Burnout Legends,2005,Racing,Electronic Arts
2448,NFL GameDay,1995,Sports,Sony Computer Entertainment
2449,Burnout 2: Point of Impact,2002,Racing,Acclaim Entertainment
2450,Kirby: Planet Robobot,2016,Action,Nintendo
2451,Street Fighter EX3,2000,Fighting,Virgin Interactive
2452,Karaoke Revolution Glee,2010,Misc,Konami Digital Entertainment
2454,Thief (2014),2014,Action,Square Enix
2456,Golden Sun: Dark Dawn,2010,Role-Playing,Nintendo
2457,Tiger Woods PGA Tour 11,2010,Sports,Electronic Arts
2458,Devil May Cry HD Collection,2012,Action,Capcom
2459,MLB 16: The Show,2016,Action,Sony Computer Entertainment
2461,Xenoblade Chronicles X,2015,Role-Playing,Nintendo
2462,Petz Dogz Fashion,2008,Simulation,Ubisoft
2466,ATV Quad Power Racing 2,2003,Racing,Acclaim Entertainment
2467,Harvest Moon: Tree of Tranquility,2007,Simulation,Rising Star Games
2468,Final Fantasy,1987,Role-Playing,SquareSoft
2469,Street Fighter X Tekken,2012,Fighting,Capcom
2470,Rocket Power: Team Rocket Rescue,2001,Sports,THQ
2471,Duke Nukem Forever,2011,Shooter,Take-Two Interactive
2472,Big Mutha Truckers,2002,Racing,Empire Interactive
2473,Borderlands: The Handsome Collection,2015,Shooter,Take-Two Interactive
2474,Rogue Galaxy,2005,Role-Playing,Sony Computer Entertainment
2475,ESPN College Hoops 2K5,2004,Sports,Sega
2476,Metroid: Zero Mission,2004,Adventure,Nintendo
2478,Time Crisis 4,2007,Shooter,Namco Bandai Games
2481,Q*bert,1999,Puzzle,Atari
2483,Ace Combat 3: Electrosphere,1999,Simulation,Sony Computer Entertainment
2484,Dynasty Warriors 2,2000,Action,THQ
2485,Battle of Giants: Dinosaurs,2008,Strategy,Ubisoft
2487,Lizzie McGuire 2: Lizzie Diaries,2004,Action,Disney Interactive Studios
2489,FIFA Soccer World Championship,2000,Sports,Electronic Arts
2490,Brute Force,2003,Shooter,Microsoft Game Studios
2491,Dance Central 3,2012,Misc,Microsoft Game Studios
2492,Yu-Gi-Oh! Dark Duel Stories,2000,Misc,Konami Digital Entertainment
2493,The Game of Life,1998,Misc,Unknown
2494,Mega Man Legends,1997,Adventure,Capcom
2496,Sly 3: Honor Among Thieves,2005,Platform,Sony Computer Entertainment
2497,The Price is Right,2008,Misc,Ubisoft
2498,Sid Meier's Civilization Revolution,2008,Strategy,Take-Two Interactive
2499,MLB SlugFest 20-03,N/A,Sports,Unknown
2500,I Spy: Fun House,2007,Puzzle,Scholastic Inc.
2501,The Amazing Spider-Man (Console Version),2012,Action,Activision
2502,Dragon Ball: Raging Blast 2,2010,Fighting,Namco Bandai Games
2503,MediEvil,1998,Platform,Sony Computer Entertainment
2504,Casper,1996,Adventure,Interplay
2505,Deca Sports 2,2009,Sports,Hudson Soft
2508,Tony Hawk's Underground 2 Remix,2005,Sports,Activision
2511,Star Wars The Clone Wars: Republic Heroes,2009,Action,LucasArts
2512,DJ Hero 2,2010,Misc,Activision
2513,Street Fighter V,2016,Fighting,Capcom
2515,Clu Clu Land,1984,Puzzle,Nintendo
2516,Killer Instinct Gold,1996,Fighting,Nintendo
2517,Amped: Freestyle Snowboarding,2001,Sports,Microsoft Game Studios
2518,Custer's Revenge,1981,Action,Mystique
2519,MediEvil: Resurrection,2005,Adventure,Sony Computer Entertainment
2520,DmC: Devil May Cry,2013,Action,Capcom
2521,Tales of the Abyss,2011,Role-Playing,Namco Bandai Games
2522,Rocket Power: Beach Bandits,2002,Platform,THQ
2524,Hasbro Family Game Night 3,2010,Misc,Electronic Arts
2526,Stranglehold,2007,Shooter,Midway Games
2527,Imagine: Rock Star,2008,Simulation,Ubisoft
2528,Shin Megami Tensei: Persona 4,2008,Role-Playing,Atlus
2529,SingStar Vol. 2,2008,Misc,Sony Computer Entertainment
2530,Shaun White Snowboarding,N/A,Sports,Ubisoft
2532,Twisted Metal (2012),2012,Action,Sony Computer Entertainment
2534,Disney's The Little Mermaid: Ariel's Undersea Adventure,2006,Action,Disney Interactive Studios
2535,Ready 2 Rumble Boxing: Round 2,2000,Fighting,Midway Games
2536,Kamaitachi no Yoru,1994,Adventure,ChunSoft
2537,Patapon,2007,Misc,Sony Computer Entertainment
2538,Tales of Destiny II,2000,Role-Playing,Namco Bandai Games
2539,Super Bomberman 2,1994,Puzzle,Hudson Soft
2540,NASCAR 2001,2000,Racing,Electronic Arts
2541,EA Sports Active NFL Training Camp,2010,Sports,Electronic Arts
2542,The Legend of Zelda: Four Swords Adventures,2004,Action,Nintendo
2543,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,1999,Sports,Konami Digital Entertainment
2544,Guitar Hero Live,2015,Misc,Activision
2545,Valkyrie Profile,1999,Role-Playing,Enix Corporation
2548,Army Men: Sarge's Heroes,1999,Action,3DO
2549,Mega Man,1987,Platform,Capcom
2552,EarthBound,1994,Role-Playing,Nintendo
2554,Professor Layton vs Phoenix Wright: Ace Attorney,2012,Puzzle,Level 5
2555,The Next Tetris,1998,Puzzle,Atari
2559,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,1998,Sports,Konami Digital Entertainment
2560,Final Fantasy XI: Wings of the Goddess,2007,Role-Playing,Square Enix
2564,MadWorld,2009,Action,Sega
2567,Yakuza,2005,Action,Sega
2568,Star Wars Rogue Squadron III: Rebel Strike,2003,Simulation,LucasArts
2569,ABBA: You Can Dance,2011,Misc,Ubisoft
2570,Moto Racer,1997,Racing,Electronic Arts
2571,Hitman: Contracts,2004,Shooter,Eidos Interactive
2573,Final Fantasy Anthology,1999,Role-Playing,Square EA
2574,Aliens: Colonial Marines,2013,Shooter,Sega
2576,[Prototype 2],2012,Action,Activision
2577,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,2010,Racing,Sega
